structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
water_1,"(0, 32)","(180, 32)","(0, 0)","(180, 0)",WATER
single_1,"(170, 141)","(178, 141)","(170, 133)","(178, 133)",SINGLE
single_2,"(49, 155)","(57, 155)","(49, 147)","(57, 147)",SINGLE
single_3,"(82, 106)","(90, 106)","(82, 98)","(90, 98)",SINGLE
single_4,"(77, 124)","(85, 124)","(77, 116)","(85, 116)",SINGLE
single_5,"(139, 54)","(147, 54)","(139, 46)","(147, 46)",SINGLE
single_6,"(2, 63)","(10, 63)","(2, 55)","(10, 55)",SINGLE
single_7,"(38, 125)","(46, 125)","(38, 117)","(46, 117)",SINGLE
single_8,"(31, 156)","(39, 156)","(31, 148)","(39, 148)",SINGLE
single_9,"(130, 88)","(138, 88)","(130, 80)","(138, 80)",SINGLE
single_10,"(73, 82)","(81, 82)","(73, 74)","(81, 74)",SINGLE
single_11,"(131, 157)","(139, 157)","(131, 149)","(139, 149)",SINGLE
single_12,"(152, 65)","(160, 65)","(152, 57)","(160, 57)",SINGLE
bungalow_13,"(69, 155)","(80, 155)","(69, 148)","(80, 148)",BUNGALOW
bungalow_14,"(155, 153)","(166, 153)","(155, 146)","(166, 146)",BUNGALOW
bungalow_15,"(106, 64)","(117, 64)","(106, 57)","(117, 57)",BUNGALOW
bungalow_16,"(91, 157)","(102, 157)","(91, 150)","(102, 150)",BUNGALOW
bungalow_17,"(56, 63)","(67, 63)","(56, 56)","(67, 56)",BUNGALOW
maison_18,"(46, 46)","(58, 46)","(46, 36)","(58, 36)",MAISON
maison_19,"(156, 90)","(168, 90)","(156, 80)","(168, 80)",MAISON
maison_20,"(49, 93)","(61, 93)","(49, 83)","(61, 83)",MAISON
networth,7245000
