structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(0, 32)","(180, 32)","(0, 0)","(0, 0)",WATER
single_1,"(59, 133)","(67, 133)","(59, 125)","(59, 125)",SINGLE
single_2,"(125, 78)","(133, 78)","(125, 70)","(125, 70)",SINGLE
single_3,"(8, 156)","(16, 156)","(8, 148)","(8, 148)",SINGLE
single_4,"(10, 77)","(18, 77)","(10, 69)","(10, 69)",SINGLE
single_5,"(162, 52)","(170, 52)","(162, 44)","(162, 44)",SINGLE
single_6,"(76, 94)","(84, 94)","(76, 86)","(76, 86)",SINGLE
single_7,"(62, 63)","(70, 63)","(62, 55)","(62, 55)",SINGLE
single_8,"(57, 153)","(65, 153)","(57, 145)","(57, 145)",SINGLE
single_9,"(31, 147)","(39, 147)","(31, 139)","(31, 139)",SINGLE
single_10,"(41, 52)","(49, 52)","(41, 44)","(41, 44)",SINGLE
single_11,"(20, 77)","(28, 77)","(20, 69)","(20, 69)",SINGLE
single_12,"(153, 121)","(161, 121)","(153, 113)","(153, 113)",SINGLE
bungalow_13,"(8, 132)","(15, 132)","(8, 121)","(8, 121)",BUNGALOW
bungalow_14,"(140, 105)","(151, 105)","(140, 98)","(140, 98)",BUNGALOW
bungalow_15,"(91, 44)","(98, 44)","(91, 33)","(91, 33)",BUNGALOW
bungalow_16,"(85, 144)","(92, 144)","(85, 133)","(85, 133)",BUNGALOW
bungalow_17,"(57, 43)","(64, 43)","(57, 32)","(57, 32)",BUNGALOW
maison_18,"(149, 143)","(161, 143)","(149, 133)","(149, 133)",MAISON
maison_19,"(16, 50)","(28, 50)","(16, 40)","(16, 40)",MAISON
maison_20,"(90, 68)","(100, 68)","(90, 56)","(90, 56)",MAISON
networth,9863975
