structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(0, 32)","(180, 32)","(0, 0)","(0, 0)",WATER
maison_1,"(6, 154)","(18, 154)","(6, 144)","(6, 144)",MAISON
maison_2,"(164, 44)","(174, 44)","(164, 32)","(164, 32)",MAISON
maison_3,"(6, 42)","(18, 42)","(6, 32)","(6, 32)",MAISON
bungalow_4,"(126, 157)","(137, 157)","(126, 150)","(126, 150)",BUNGALOW
bungalow_5,"(126, 157)","(137, 157)","(126, 150)","(126, 150)",BUNGALOW
bungalow_6,"(88, 46)","(95, 46)","(88, 35)","(88, 35)",BUNGALOW
bungalow_7,"(88, 46)","(95, 46)","(88, 35)","(88, 35)",BUNGALOW
bungalow_8,"(170, 124)","(177, 124)","(170, 113)","(170, 113)",BUNGALOW
single_9,"(120, 111)","(128, 111)","(120, 103)","(120, 103)",SINGLE
single_10,"(170, 158)","(178, 158)","(170, 150)","(170, 150)",SINGLE
single_11,"(136, 118)","(144, 118)","(136, 110)","(136, 110)",SINGLE
single_12,"(118, 121)","(126, 121)","(118, 113)","(118, 113)",SINGLE
single_13,"(152, 123)","(160, 123)","(152, 115)","(152, 115)",SINGLE
single_14,"(170, 141)","(178, 141)","(170, 133)","(170, 133)",SINGLE
single_15,"(160, 140)","(168, 140)","(160, 132)","(160, 132)",SINGLE
single_16,"(160, 155)","(168, 155)","(160, 147)","(160, 147)",SINGLE
single_17,"(130, 128)","(138, 128)","(130, 120)","(130, 120)",SINGLE
single_18,"(140, 128)","(148, 128)","(140, 120)","(140, 120)",SINGLE
single_19,"(150, 133)","(158, 133)","(150, 125)","(150, 125)",SINGLE
single_20,"(120, 131)","(128, 131)","(120, 123)","(120, 123)",SINGLE
networth,16691849
