structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(0, 32)","(180, 32)","(0, 0)","(0, 0)",WATER
maison_1,"(106, 151)","(116, 151)","(106, 139)","(106, 139)",MAISON
maison_2,"(142, 85)","(152, 85)","(142, 73)","(142, 73)",MAISON
maison_3,"(118, 93)","(130, 93)","(118, 83)","(118, 83)",MAISON
bungalow_4,"(166, 104)","(173, 104)","(166, 93)","(166, 93)",BUNGALOW
bungalow_5,"(59, 127)","(70, 127)","(59, 120)","(59, 120)",BUNGALOW
bungalow_6,"(73, 99)","(80, 99)","(73, 88)","(73, 88)",BUNGALOW
bungalow_7,"(98, 67)","(105, 67)","(98, 56)","(98, 56)",BUNGALOW
bungalow_8,"(9, 75)","(16, 75)","(9, 64)","(9, 64)",BUNGALOW
single_9,"(168, 80)","(176, 80)","(168, 72)","(168, 72)",SINGLE
single_10,"(22, 46)","(30, 46)","(22, 38)","(22, 38)",SINGLE
single_11,"(140, 156)","(148, 156)","(140, 148)","(140, 148)",SINGLE
single_12,"(122, 112)","(130, 112)","(122, 104)","(122, 104)",SINGLE
single_13,"(23, 98)","(31, 98)","(23, 90)","(23, 90)",SINGLE
single_14,"(28, 75)","(36, 75)","(28, 67)","(28, 67)",SINGLE
single_15,"(30, 88)","(38, 88)","(30, 80)","(30, 80)",SINGLE
single_16,"(164, 131)","(172, 131)","(164, 123)","(164, 123)",SINGLE
single_17,"(99, 130)","(107, 130)","(99, 122)","(99, 122)",SINGLE
single_18,"(123, 146)","(131, 146)","(123, 138)","(123, 138)",SINGLE
single_19,"(157, 47)","(165, 47)","(157, 39)","(157, 39)",SINGLE
single_20,"(132, 64)","(140, 64)","(132, 56)","(132, 56)",SINGLE
networth,9608726
