structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(0, 32)","(180, 32)","(0, 0)","(0, 0)",WATER
maison_1,"(164, 125)","(174, 125)","(164, 113)","(164, 113)",MAISON
maison_2,"(81, 46)","(91, 46)","(81, 34)","(81, 34)",MAISON
maison_3,"(147, 149)","(157, 149)","(147, 137)","(147, 137)",MAISON
bungalow_4,"(27, 107)","(34, 107)","(27, 96)","(27, 96)",BUNGALOW
bungalow_5,"(79, 61)","(90, 61)","(79, 54)","(79, 54)",BUNGALOW
bungalow_6,"(108, 62)","(115, 62)","(108, 51)","(108, 51)",BUNGALOW
bungalow_7,"(37, 69)","(48, 69)","(37, 62)","(37, 62)",BUNGALOW
bungalow_8,"(48, 81)","(59, 81)","(48, 74)","(48, 74)",BUNGALOW
single_9,"(111, 91)","(119, 91)","(111, 83)","(111, 83)",SINGLE
single_10,"(63, 66)","(71, 66)","(63, 58)","(63, 58)",SINGLE
single_11,"(130, 85)","(138, 85)","(130, 77)","(130, 77)",SINGLE
single_12,"(146, 90)","(154, 90)","(146, 82)","(146, 82)",SINGLE
single_13,"(64, 141)","(72, 141)","(64, 133)","(64, 133)",SINGLE
single_14,"(65, 125)","(73, 125)","(65, 117)","(65, 117)",SINGLE
single_15,"(76, 154)","(84, 154)","(76, 146)","(76, 146)",SINGLE
single_16,"(132, 107)","(140, 107)","(132, 99)","(132, 99)",SINGLE
single_17,"(25, 140)","(33, 140)","(25, 132)","(25, 132)",SINGLE
single_18,"(75, 136)","(83, 136)","(75, 128)","(75, 128)",SINGLE
single_19,"(125, 134)","(133, 134)","(125, 126)","(125, 126)",SINGLE
single_20,"(94, 136)","(102, 136)","(94, 128)","(94, 128)",SINGLE
networth,9307715
