structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"0,32","0,0","180,0","180,32",WATER
maison_1,"120,89","120,79","132,79","132,89",MAISON
maison_2,"48,120","48,108","58,108","58,120",MAISON
maison_3,"75,81","75,69","85,69","85,81",MAISON
bungalow_4,"32,96","32,89","43,89","43,96",BUNGALOW
bungalow_5,"66,149","66,142","77,142","77,149",BUNGALOW
bungalow_6,"154,89","154,82","165,82","165,89",BUNGALOW
bungalow_7,"73,139","73,128","80,128","80,139",BUNGALOW
bungalow_8,"91,116","91,105","98,105","98,116",BUNGALOW
eengezinswoning_9,"12,71","12,63","20,63","20,71",EENGEZINSWONING
eengezinswoning_10,"104,52","104,44","112,44","112,52",EENGEZINSWONING
eengezinswoning_11,"115,116","115,108","123,108","123,116",EENGEZINSWONING
eengezinswoning_12,"90,52","90,44","98,44","98,52",EENGEZINSWONING
eengezinswoning_13,"120,142","120,134","128,134","128,142",EENGEZINSWONING
eengezinswoning_14,"25,78","25,70","33,70","33,78",EENGEZINSWONING
eengezinswoning_15,"168,98","168,90","176,90","176,98",EENGEZINSWONING
eengezinswoning_16,"38,137","38,129","46,129","46,137",EENGEZINSWONING
eengezinswoning_17,"83,149","83,141","91,141","91,149",EENGEZINSWONING
eengezinswoning_18,"21,96","21,88","29,88","29,96",EENGEZINSWONING
eengezinswoning_19,"18,155","18,147","26,147","26,155",EENGEZINSWONING
eengezinswoning_20,"157,75","157,67","165,67","165,75",EENGEZINSWONING
networth,9120006
