structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"0,32","0,0","180,0","180,32",WATER
maison_1,"6,103","6,91","16,91","16,103",MAISON
maison_2,"37,45","37,35","49,35","49,45",MAISON
maison_3,"51,102","51,92","63,92","63,102",MAISON
bungalow_4,"154,126","154,115","161,115","161,126",BUNGALOW
bungalow_5,"54,154","54,147","65,147","65,154",BUNGALOW
bungalow_6,"145,98","145,87","152,87","152,98",BUNGALOW
bungalow_7,"51,125","51,118","62,118","62,125",BUNGALOW
bungalow_8,"8,155","8,144","15,144","15,155",BUNGALOW
eengezinswoning_9,"121,140","121,132","129,132","129,140",EENGEZINSWONING
eengezinswoning_10,"108,119","108,111","116,111","116,119",EENGEZINSWONING
eengezinswoning_11,"101,75","101,67","109,67","109,75",EENGEZINSWONING
eengezinswoning_12,"147,52","147,44","155,44","155,52",EENGEZINSWONING
eengezinswoning_13,"105,41","105,33","113,33","113,41",EENGEZINSWONING
eengezinswoning_14,"134,143","134,135","142,135","142,143",EENGEZINSWONING
eengezinswoning_15,"72,151","72,143","80,143","80,151",EENGEZINSWONING
eengezinswoning_16,"143,81","143,73","151,73","151,81",EENGEZINSWONING
eengezinswoning_17,"100,142","100,134","108,134","108,142",EENGEZINSWONING
eengezinswoning_18,"165,111","165,103","173,103","173,111",EENGEZINSWONING
eengezinswoning_19,"118,110","118,102","126,102","126,110",EENGEZINSWONING
eengezinswoning_20,"97,97","97,89","105,89","105,97",EENGEZINSWONING
networth,11940561
