structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"135,32","135,0","180,0","180,32",WATER
Water_2,"0,32","0,0","45,0","45,32",WATER
Water_3,"135,160","135,128","180,128","180,160",WATER
Water_4,"0,160","0,128","45,128","45,160",WATER
maison_1,"103,105","103,93","113,93","113,105",MAISON
maison_2,"6,44","6,32","16,32","16,44",MAISON
maison_3,"123,16","123,6","135,6","135,16",MAISON
bungalow_4,"45,156","45,145","52,145","52,156",BUNGALOW
bungalow_5,"170,128","170,117","177,117","177,128",BUNGALOW
bungalow_6,"116,157","116,150","127,150","127,157",BUNGALOW
bungalow_7,"166,94","166,87","177,87","177,94",BUNGALOW
bungalow_8,"157,128","157,117","164,117","164,128",BUNGALOW
eengezinswoning_9,"164,111","164,103","172,103","172,111",EENGEZINSWONING
eengezinswoning_10,"154,111","154,103","162,103","162,111",EENGEZINSWONING
eengezinswoning_11,"154,99","154,91","162,91","162,99",EENGEZINSWONING
eengezinswoning_12,"170,84","170,76","178,76","178,84",EENGEZINSWONING
eengezinswoning_13,"155,89","155,81","163,81","163,89",EENGEZINSWONING
eengezinswoning_14,"170,74","170,66","178,66","178,74",EENGEZINSWONING
eengezinswoning_15,"160,79","160,71","168,71","168,79",EENGEZINSWONING
eengezinswoning_16,"150,79","150,71","158,71","158,79",EENGEZINSWONING
eengezinswoning_17,"170,64","170,56","178,56","178,64",EENGEZINSWONING
eengezinswoning_18,"160,69","160,61","168,61","168,69",EENGEZINSWONING
eengezinswoning_19,"150,69","150,61","158,61","158,69",EENGEZINSWONING
eengezinswoning_20,"170,54","170,46","178,46","178,54",EENGEZINSWONING
networth,13462151
