structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"50,116","50,44","130,44","130,116",WATER
maison_1,"6,154","6,144","18,144","18,154",MAISON
maison_2,"164,18","164,6","174,6","174,18",MAISON
maison_3,"7,16","7,6","19,6","19,16",MAISON
bungalow_4,"150,157","150,150","161,150","161,157",BUNGALOW
bungalow_5,"166,157","166,150","177,150","177,157",BUNGALOW
bungalow_6,"137,157","137,146","144,146","144,157",BUNGALOW
bungalow_7,"166,147","166,140","177,140","177,147",BUNGALOW
bungalow_8,"150,147","150,140","161,140","161,147",BUNGALOW
eengezinswoning_9,"137,143","137,135","145,135","145,143",EENGEZINSWONING
eengezinswoning_10,"148,137","148,129","156,129","156,137",EENGEZINSWONING
eengezinswoning_11,"167,137","167,129","175,129","175,137",EENGEZINSWONING
eengezinswoning_12,"137,133","137,125","145,125","145,133",EENGEZINSWONING
eengezinswoning_13,"147,127","147,119","155,119","155,127",EENGEZINSWONING
eengezinswoning_14,"157,127","157,119","165,119","165,127",EENGEZINSWONING
eengezinswoning_15,"168,127","168,119","176,119","176,127",EENGEZINSWONING
eengezinswoning_16,"135,123","135,115","143,115","143,123",EENGEZINSWONING
eengezinswoning_17,"145,117","145,109","153,109","153,117",EENGEZINSWONING
eengezinswoning_18,"155,117","155,109","163,109","163,117",EENGEZINSWONING
eengezinswoning_19,"166,117","166,109","174,109","174,117",EENGEZINSWONING
eengezinswoning_20,"133,113","133,105","141,105","141,113",EENGEZINSWONING
networth,18915223
