structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(50, 116)","(130, 116)","(50, 44)","(50, 44)",WATER
maison_1,"(6, 154)","(18, 154)","(6, 144)","(6, 144)",MAISON
maison_2,"(162, 16)","(174, 16)","(162, 6)","(162, 6)",MAISON
maison_3,"(6, 16)","(18, 16)","(6, 6)","(6, 6)",MAISON
bungalow_4,"(164, 157)","(175, 157)","(164, 150)","(164, 150)",BUNGALOW
bungalow_5,"(164, 157)","(175, 157)","(164, 150)","(164, 150)",BUNGALOW
bungalow_6,"(164, 157)","(175, 157)","(164, 150)","(164, 150)",BUNGALOW
bungalow_7,"(87, 36)","(94, 36)","(87, 25)","(87, 25)",BUNGALOW
bungalow_8,"(87, 36)","(94, 36)","(87, 25)","(87, 25)",BUNGALOW
single_9,"(86, 10)","(94, 10)","(86, 2)","(86, 2)",SINGLE
single_10,"(86, 10)","(94, 10)","(86, 2)","(86, 2)",SINGLE
single_11,"(86, 20)","(94, 20)","(86, 12)","(86, 12)",SINGLE
single_12,"(86, 20)","(94, 20)","(86, 12)","(86, 12)",SINGLE
single_13,"(96, 17)","(104, 17)","(96, 9)","(96, 9)",SINGLE
single_14,"(98, 29)","(106, 29)","(98, 21)","(98, 21)",SINGLE
single_15,"(98, 29)","(106, 29)","(98, 21)","(98, 21)",SINGLE
single_16,"(106, 11)","(114, 11)","(106, 3)","(106, 3)",SINGLE
single_17,"(108, 25)","(116, 25)","(108, 17)","(108, 17)",SINGLE
single_18,"(108, 25)","(116, 25)","(108, 17)","(108, 17)",SINGLE
single_19,"(116, 12)","(124, 12)","(116, 4)","(116, 4)",SINGLE
single_20,"(118, 22)","(126, 22)","(118, 14)","(118, 14)",SINGLE
networth,15955234
