structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(50, 116)","(130, 116)","(50, 44)","(50, 44)",WATER
maison_1,"(96, 40)","(108, 40)","(96, 30)","(96, 30)",MAISON
maison_2,"(137, 62)","(147, 62)","(137, 50)","(137, 50)",MAISON
maison_3,"(12, 62)","(22, 62)","(12, 50)","(12, 50)",MAISON
bungalow_4,"(37, 20)","(48, 20)","(37, 13)","(37, 13)",BUNGALOW
bungalow_5,"(23, 133)","(34, 133)","(23, 126)","(23, 126)",BUNGALOW
bungalow_6,"(126, 15)","(137, 15)","(126, 8)","(126, 8)",BUNGALOW
bungalow_7,"(133, 136)","(140, 136)","(133, 125)","(133, 125)",BUNGALOW
bungalow_8,"(38, 58)","(45, 58)","(38, 47)","(38, 47)",BUNGALOW
single_9,"(143, 152)","(151, 152)","(143, 144)","(143, 144)",SINGLE
single_10,"(71, 11)","(79, 11)","(71, 3)","(71, 3)",SINGLE
single_11,"(164, 89)","(172, 89)","(164, 81)","(164, 81)",SINGLE
single_12,"(170, 105)","(178, 105)","(170, 97)","(170, 97)",SINGLE
single_13,"(58, 137)","(66, 137)","(58, 129)","(58, 129)",SINGLE
single_14,"(84, 19)","(92, 19)","(84, 11)","(84, 11)",SINGLE
single_15,"(114, 15)","(122, 15)","(114, 7)","(114, 7)",SINGLE
single_16,"(3, 13)","(11, 13)","(3, 5)","(3, 5)",SINGLE
single_17,"(11, 115)","(19, 115)","(11, 107)","(11, 107)",SINGLE
single_18,"(74, 139)","(82, 139)","(74, 131)","(74, 131)",SINGLE
single_19,"(133, 37)","(141, 37)","(133, 29)","(133, 29)",SINGLE
single_20,"(145, 118)","(153, 118)","(145, 110)","(145, 110)",SINGLE
networth,9615653
