structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(50, 116)","(130, 116)","(50, 44)","(50, 44)",WATER
maison_1,"(15, 25)","(25, 25)","(15, 13)","(15, 13)",MAISON
maison_2,"(20, 132)","(32, 132)","(20, 122)","(20, 122)",MAISON
maison_3,"(97, 134)","(107, 134)","(97, 122)","(97, 122)",MAISON
bungalow_4,"(146, 49)","(153, 49)","(146, 38)","(146, 38)",BUNGALOW
bungalow_5,"(63, 41)","(70, 41)","(63, 30)","(63, 30)",BUNGALOW
bungalow_6,"(32, 68)","(43, 68)","(32, 61)","(32, 61)",BUNGALOW
bungalow_7,"(150, 89)","(157, 89)","(150, 78)","(150, 78)",BUNGALOW
bungalow_8,"(132, 75)","(139, 75)","(132, 64)","(132, 64)",BUNGALOW
single_9,"(148, 70)","(156, 70)","(148, 62)","(148, 62)",SINGLE
single_10,"(160, 44)","(168, 44)","(160, 36)","(160, 36)",SINGLE
single_11,"(151, 152)","(159, 152)","(151, 144)","(151, 144)",SINGLE
single_12,"(17, 94)","(25, 94)","(17, 86)","(17, 86)",SINGLE
single_13,"(167, 81)","(175, 81)","(167, 73)","(167, 73)",SINGLE
single_14,"(37, 110)","(45, 110)","(37, 102)","(37, 102)",SINGLE
single_15,"(3, 142)","(11, 142)","(3, 134)","(3, 134)",SINGLE
single_16,"(156, 32)","(164, 32)","(156, 24)","(156, 24)",SINGLE
single_17,"(123, 20)","(131, 20)","(123, 12)","(123, 12)",SINGLE
single_18,"(137, 101)","(145, 101)","(137, 93)","(137, 93)",SINGLE
single_19,"(97, 44)","(105, 44)","(97, 36)","(97, 36)",SINGLE
single_20,"(161, 16)","(169, 16)","(161, 8)","(161, 8)",SINGLE
networth,11689838
