structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(50, 116)","(130, 116)","(50, 44)","(50, 44)",WATER
maison_1,"(155, 81)","(165, 81)","(155, 69)","(155, 69)",MAISON
maison_2,"(153, 32)","(165, 32)","(153, 22)","(153, 22)",MAISON
maison_3,"(13, 70)","(25, 70)","(13, 60)","(13, 60)",MAISON
bungalow_4,"(146, 102)","(157, 102)","(146, 95)","(146, 95)",BUNGALOW
bungalow_5,"(37, 71)","(48, 71)","(37, 64)","(37, 64)",BUNGALOW
bungalow_6,"(81, 135)","(92, 135)","(81, 128)","(81, 128)",BUNGALOW
bungalow_7,"(138, 138)","(149, 138)","(138, 131)","(138, 131)",BUNGALOW
bungalow_8,"(133, 115)","(140, 115)","(133, 104)","(133, 104)",BUNGALOW
single_9,"(21, 119)","(29, 119)","(21, 111)","(21, 111)",SINGLE
single_10,"(99, 133)","(107, 133)","(99, 125)","(99, 125)",SINGLE
single_11,"(64, 149)","(72, 149)","(64, 141)","(64, 141)",SINGLE
single_12,"(134, 91)","(142, 91)","(134, 83)","(134, 83)",SINGLE
single_13,"(136, 71)","(144, 71)","(136, 63)","(136, 63)",SINGLE
single_14,"(42, 105)","(50, 105)","(42, 97)","(42, 97)",SINGLE
single_15,"(151, 155)","(159, 155)","(151, 147)","(151, 147)",SINGLE
single_16,"(63, 126)","(71, 126)","(63, 118)","(63, 118)",SINGLE
single_17,"(23, 106)","(31, 106)","(23, 98)","(23, 98)",SINGLE
single_18,"(58, 16)","(66, 16)","(58, 8)","(58, 8)",SINGLE
single_19,"(73, 34)","(81, 34)","(73, 26)","(73, 26)",SINGLE
single_20,"(34, 135)","(42, 135)","(34, 127)","(34, 127)",SINGLE
networth,9736168
