structure,corner_1,corner_2,corner_3,corner_4,type
Water_1,"50,116","50,44","130,44","130,116",WATER
maison_1,"153,44","153,34","165,34","165,44",MAISON
maison_2,"142,149","142,139","154,139","154,149",MAISON
maison_3,"52,142","52,130","62,130","62,142",MAISON
bungalow_4,"13,72","13,61","20,61","20,72",BUNGALOW
bungalow_5,"161,91","161,84","172,84","172,91",BUNGALOW
bungalow_6,"91,44","91,33","98,33","98,44",BUNGALOW
bungalow_7,"12,35","12,24","19,24","19,35",BUNGALOW
bungalow_8,"135,75","135,64","142,64","142,75",BUNGALOW
eengezinswoning_9,"77,10","77,2","85,2","85,10",EENGEZINSWONING
eengezinswoning_10,"10,157","10,149","18,149","18,157",EENGEZINSWONING
eengezinswoning_11,"52,30","52,22","60,22","60,30",EENGEZINSWONING
eengezinswoning_12,"48,13","48,5","56,5","56,13",EENGEZINSWONING
eengezinswoning_13,"38,73","38,65","46,65","46,73",EENGEZINSWONING
eengezinswoning_14,"6,100","6,92","14,92","14,100",EENGEZINSWONING
eengezinswoning_15,"42,41","42,33","50,33","50,41",EENGEZINSWONING
eengezinswoning_16,"25,97","25,89","33,89","33,97",EENGEZINSWONING
eengezinswoning_17,"7,112","7,104","15,104","15,112",EENGEZINSWONING
eengezinswoning_18,"3,127","3,119","11,119","11,127",EENGEZINSWONING
eengezinswoning_19,"24,130","24,122","32,122","32,130",EENGEZINSWONING
eengezinswoning_20,"26,115","26,107","34,107","34,115",EENGEZINSWONING
networth,12148380
