structure,corner_1 (bottom_left),corner_2 (bottom_right),corner_3 (top_left),corner_4 (top_right),type
Water_1,"(50, 116)","(130, 116)","(50, 44)","(50, 44)",WATER
maison_1,"(75, 154)","(85, 154)","(75, 142)","(75, 142)",MAISON
maison_2,"(8, 54)","(20, 54)","(8, 44)","(8, 44)",MAISON
maison_3,"(77, 33)","(87, 33)","(77, 21)","(77, 21)",MAISON
maison_4,"(56, 41)","(66, 41)","(56, 29)","(56, 29)",MAISON
maison_5,"(31, 60)","(41, 60)","(31, 48)","(31, 48)",MAISON
maison_6,"(162, 60)","(174, 60)","(162, 50)","(162, 50)",MAISON
maison_7,"(162, 17)","(174, 17)","(162, 7)","(162, 7)",MAISON
maison_8,"(133, 61)","(143, 61)","(133, 49)","(133, 49)",MAISON
maison_9,"(115, 130)","(125, 130)","(115, 118)","(115, 118)",MAISON
bungalow_10,"(39, 84)","(50, 84)","(39, 77)","(39, 77)",BUNGALOW
bungalow_11,"(139, 80)","(146, 80)","(139, 69)","(139, 69)",BUNGALOW
bungalow_12,"(136, 138)","(143, 138)","(136, 127)","(136, 127)",BUNGALOW
bungalow_13,"(22, 33)","(29, 33)","(22, 22)","(22, 22)",BUNGALOW
bungalow_14,"(10, 104)","(21, 104)","(10, 97)","(10, 97)",BUNGALOW
bungalow_15,"(25, 149)","(32, 149)","(25, 138)","(25, 138)",BUNGALOW
bungalow_16,"(93, 124)","(104, 124)","(93, 117)","(93, 117)",BUNGALOW
bungalow_17,"(3, 124)","(10, 124)","(3, 113)","(3, 113)",BUNGALOW
bungalow_18,"(57, 123)","(68, 123)","(57, 116)","(57, 116)",BUNGALOW
bungalow_19,"(97, 14)","(108, 14)","(97, 7)","(97, 7)",BUNGALOW
bungalow_20,"(108, 31)","(119, 31)","(108, 24)","(108, 24)",BUNGALOW
bungalow_21,"(153, 123)","(160, 123)","(153, 112)","(153, 112)",BUNGALOW
bungalow_22,"(137, 16)","(148, 16)","(137, 9)","(137, 9)",BUNGALOW
bungalow_23,"(98, 44)","(109, 44)","(98, 37)","(98, 37)",BUNGALOW
bungalow_24,"(9, 155)","(16, 155)","(9, 144)","(9, 144)",BUNGALOW
single_25,"(4, 90)","(12, 90)","(4, 82)","(4, 82)",SINGLE
single_26,"(161, 83)","(169, 83)","(161, 75)","(161, 75)",SINGLE
single_27,"(39, 150)","(47, 150)","(39, 142)","(39, 142)",SINGLE
single_28,"(121, 149)","(129, 149)","(121, 141)","(121, 141)",SINGLE
single_29,"(20, 126)","(28, 126)","(20, 118)","(20, 118)",SINGLE
single_30,"(107, 157)","(115, 157)","(107, 149)","(107, 149)",SINGLE
single_31,"(140, 157)","(148, 157)","(140, 149)","(140, 149)",SINGLE
single_32,"(131, 32)","(139, 32)","(131, 24)","(131, 24)",SINGLE
single_33,"(40, 24)","(48, 24)","(40, 16)","(40, 16)",SINGLE
single_34,"(12, 11)","(20, 11)","(12, 3)","(12, 3)",SINGLE
single_35,"(170, 154)","(178, 154)","(170, 146)","(170, 146)",SINGLE
single_36,"(78, 12)","(86, 12)","(78, 4)","(78, 4)",SINGLE
single_37,"(95, 142)","(103, 142)","(95, 134)","(95, 134)",SINGLE
single_38,"(58, 152)","(66, 152)","(58, 144)","(58, 144)",SINGLE
single_39,"(162, 140)","(170, 140)","(162, 132)","(162, 132)",SINGLE
single_40,"(35, 11)","(43, 11)","(35, 3)","(35, 3)",SINGLE
single_41,"(142, 98)","(150, 98)","(142, 90)","(142, 90)",SINGLE
single_42,"(169, 123)","(177, 123)","(169, 115)","(169, 115)",SINGLE
single_43,"(18, 89)","(26, 89)","(18, 81)","(18, 81)",SINGLE
single_44,"(148, 38)","(156, 38)","(148, 30)","(148, 30)",SINGLE
single_45,"(3, 33)","(11, 33)","(3, 25)","(3, 25)",SINGLE
single_46,"(122, 11)","(130, 11)","(122, 3)","(122, 3)",SINGLE
single_47,"(170, 109)","(178, 109)","(170, 101)","(170, 101)",SINGLE
single_48,"(39, 116)","(47, 116)","(39, 108)","(39, 108)",SINGLE
single_49,"(2, 15)","(10, 15)","(2, 7)","(2, 7)",SINGLE
single_50,"(155, 158)","(163, 158)","(155, 150)","(155, 150)",SINGLE
single_51,"(170, 97)","(178, 97)","(170, 89)","(170, 89)",SINGLE
single_52,"(44, 140)","(52, 140)","(44, 132)","(44, 132)",SINGLE
single_53,"(117, 44)","(125, 44)","(117, 36)","(117, 36)",SINGLE
single_54,"(156, 105)","(164, 105)","(156, 97)","(156, 97)",SINGLE
single_55,"(152, 147)","(160, 147)","(152, 139)","(152, 139)",SINGLE
single_56,"(59, 138)","(67, 138)","(59, 130)","(59, 130)",SINGLE
single_57,"(75, 131)","(83, 131)","(75, 123)","(75, 123)",SINGLE
single_58,"(39, 127)","(47, 127)","(39, 119)","(39, 119)",SINGLE
single_59,"(63, 14)","(71, 14)","(63, 6)","(63, 6)",SINGLE
single_60,"(25, 12)","(33, 12)","(25, 4)","(25, 4)",SINGLE
networth,25476664
